GIR_X,GIR_Y,GIR_Z
13.43,-21.0,-7.81
2.75,-13.61,-8.3
-10.01,-8.91,-8.0
-26.79,-5.0,-7.93
-28.26,-2.81,-8.67
-20.08,5.86,-7.45
-18.31,10.74,-4.52
-18.01,13.49,-1.89
-17.76,10.62,4.33
-18.07,8.48,6.77
-18.25,8.18,7.69
-22.34,13.85,6.84
-24.84,10.68,9.77
-18.55,-12.57,22.46
-7.93,-26.0,30.27
6.29,-34.24,34.61
42.48,-34.24,28.2
55.97,-28.93,22.71
59.63,-19.59,17.58
36.25,-5.8,7.39
16.36,-5.0,1.77
-2.44,-3.36,-5.86
-14.22,0.37,-7.26
-10.56,6.16,-5.8
3.85,14.59,1.1
4.46,18.19,2.44
1.04,20.57,2.87
-6.77,20.94,0.98
-8.42,22.95,-0.79
-6.47,26.06,-2.08
5.13,30.09,-3.17
12.7,32.84,-4.39
19.29,40.53,-9.09
18.55,42.48,-10.74
16.36,42.24,-10.74
11.78,44.07,-11.29
9.77,50.72,-13.73
7.51,59.57,-16.05
5.68,69.27,-18.19
5.0,70.01,-16.72
6.96,70.07,-12.76
11.6,71.17,-10.44
17.15,73.18,-8.85
21.85,77.39,-11.66
21.06,79.96,-13.92
17.46,82.15,-16.17
4.94,88.93,-17.09
2.14,92.29,-16.17
2.44,88.01,-4.46
6.16,82.89,4.33
6.96,80.14,8.85
10.19,85.51,-3.11
10.19,94.91,-15.32
11.72,104.49,-27.04
22.09,107.3,-26.25
25.02,102.91,-16.3
21.91,96.01,-5.43
-1.83,76.35,8.67
-14.4,69.52,5.55
-18.43,83.13,-29.11
-5.13,97.9,-42.72
12.39,110.05,-46.26
30.46,112.49,-33.87
16.91,103.03,-21.91
-3.91,89.48,-9.89
-35.16,67.81,4.64
-36.68,69.21,-0.55
-9.83,94.06,-34.06
1.28,105.9,-41.93
5.49,108.4,-39.73
1.46,87.4,-14.59
-6.59,74.28,-0.61
-15.93,64.33,9.89
-27.71,67.2,-3.85
-21.48,77.64,-26.06
-9.64,102.84,-48.65
4.52,99.98,-42.91
3.78,97.66,-31.74
-4.76,78.61,-3.91
-8.18,68.12,9.09
-8.36,62.56,13.18
9.58,72.88,-19.47
17.94,87.71,-39.43
15.62,101.5,-47.85
-8.12,105.47,-43.76
-21.06,99.06,-35.89
-31.56,83.44,-14.71
-23.68,78.8,-4.33
-11.54,79.96,1.34
26.0,92.65,-18.19
40.77,99.55,-31.31
41.87,106.14,-37.9
13.18,111.94,-35.4
-6.96,107.42,-30.03
-32.59,90.39,-13.43
-31.07,83.74,-3.36
-22.71,79.53,4.21
-9.09,86.18,1.71
-6.41,92.9,-6.65
-8.24,97.78,-14.34
-28.99,99.37,-20.81
-41.2,94.06,-22.09
-48.1,84.72,-20.81
-33.75,64.7,-16.78
-14.34,60.12,-11.35
24.48,63.35,-0.73
28.14,67.99,1.95
17.88,72.02,1.28
-14.04,68.91,-5.62
-22.03,62.32,-9.09
-21.06,57.98,-9.46
-3.91,61.46,-2.01
7.63,65.98,3.48
16.42,70.01,7.02
14.1,69.27,3.91
11.11,66.35,-0.18
10.8,60.06,-6.23
11.84,61.71,-5.37
12.39,65.86,-3.05
3.78,75.13,-2.69
-2.69,77.39,-7.45
-5.07,70.25,-19.1
6.47,65.86,-18.74
16.6,63.9,-15.5
27.53,69.4,-4.94
23.68,70.74,-2.44
15.93,69.21,-2.75
0.43,60.24,-9.58
-0.31,54.81,-12.02
3.85,52.12,-12.88
13.49,59.2,-9.89
14.77,63.6,-9.58
10.62,60.97,-13.31
9.03,55.54,-16.36
9.46,49.56,-16.05
18.86,46.51,-6.96
24.05,50.17,-1.71
27.83,54.81,2.2
23.07,61.46,0.67
15.38,62.81,-2.38
6.29,55.3,-9.03
7.08,50.84,-9.16
9.58,48.58,-7.14
19.35,46.81,-5.43
22.58,45.84,-7.26
21.0,44.98,-9.28
16.72,38.57,-10.74
16.91,37.29,-9.77
18.13,46.26,-6.71
16.72,49.19,-5.43
13.31,48.46,-3.78
5.07,41.2,2.08
3.3,39.0,3.78
3.97,37.05,4.52
12.39,36.87,4.88
16.66,39.49,5.43
18.74,43.03,5.43
9.52,47.36,5.25
1.46,42.6,5.49
-8.73,26.37,6.77
-7.57,18.01,9.16
-2.87,11.96,12.02
5.8,6.23,15.44
7.14,4.94,14.22
9.83,2.62,10.31
8.79,0.24,0.73
4.7,0.85,-0.61
0.06,-1.28,3.54
-1.22,-4.15,6.47
-0.73,-6.65,8.0
5.62,-13.49,7.63
8.42,-15.81,6.65
9.58,-18.07,6.16
4.88,-22.34,5.49
-1.22,-25.7,5.07
-6.35,-45.41,4.39
-6.59,-39.06,3.48
-5.25,-40.59,2.2
-6.59,-38.09,1.16
-9.22,-37.23,2.75
-11.17,-38.51,5.74
-7.75,-45.04,10.01
-3.11,-48.77,10.99
2.2,-51.94,12.7
11.35,-54.99,19.78
15.62,-55.48,23.13
18.86,-58.96,23.13
16.54,-61.95,18.98
12.39,-66.71,13.79
3.72,-72.51,6.41
3.23,-73.43,4.76
5.55,-74.16,6.47
15.38,-76.97,15.2
17.46,-79.53,20.14
18.62,-87.1,22.64
19.23,-91.0,20.94
19.41,-94.73,18.98
19.78,-100.16,17.03
18.62,-101.75,17.09
18.01,-104.0,16.85
18.68,-106.38,17.7
20.45,-106.87,18.07
20.45,-104.19,16.78
20.02,-98.39,15.14
22.58,-99.61,13.18
25.09,-107.3,7.87
24.72,-111.76,5.37
20.81,-113.65,5.37
14.34,-108.64,8.79
12.63,-104.86,11.66
10.56,-101.26,14.4
12.08,-103.09,18.62
17.33,-106.63,18.13
30.58,-110.84,15.01
37.35,-112.49,12.7
38.88,-112.79,13.67
30.15,-108.64,16.78
23.13,-107.18,16.42
18.31,-108.89,15.5
18.98,-113.28,14.22
23.74,-110.84,15.32
32.9,-103.82,22.22
48.03,-101.81,26.18
49.07,-102.78,26.0
43.82,-115.23,17.64
36.93,-121.89,13.79
32.1,-126.89,11.35
34.18,-121.34,10.99
39.79,-114.01,10.86
39.43,-109.19,12.7
25.45,-112.24,15.2
20.57,-117.8,15.93
11.66,-118.29,13.12
13.49,-113.59,10.93
21.97,-107.6,9.28
40.89,-96.37,5.31
40.71,-94.06,5.25
35.03,-94.6,6.77
23.13,-97.9,9.34
17.21,-97.17,9.22
14.22,-92.22,5.19
14.53,-88.68,0.55
12.15,-85.94,-2.93
6.29,-90.33,1.34
5.37,-92.47,6.53
7.63,-93.02,10.74
14.89,-86.79,13.12
17.33,-80.38,8.42
19.23,-68.18,-0.92
16.42,-66.28,-1.22
11.84,-67.14,-0.24
0.31,-75.93,3.97
-4.82,-79.22,5.37
-4.7,-79.9,1.77
0.73,-76.23,-3.36
0.92,-76.42,-1.46
1.46,-77.03,0.61
2.5,-76.78,5.68
5.86,-77.21,5.74
13.61,-71.66,-2.01
16.72,-69.89,-2.81
18.31,-70.5,-1.34
7.57,-68.97,3.91
3.54,-67.5,3.48
1.83,-66.83,3.85
4.82,-67.87,4.82
7.51,-68.12,4.39
11.72,-70.43,-0.79
12.94,-70.62,-1.71
12.7,-69.95,1.46
11.96,-67.38,8.3
10.44,-64.88,9.03
7.63,-62.01,4.76
9.03,-57.07,-5.74
12.39,-56.09,-9.77
12.82,-52.86,-12.63
12.51,-50.78,-10.86
10.93,-48.71,-7.87
5.86,-47.67,-4.82
6.77,-49.5,-3.11
8.54,-50.84,-2.69
8.48,-46.88,-5.62
8.0,-42.66,-7.81
6.35,-37.78,-8.54
1.89,-28.93,-10.25
-2.01,-28.56,-10.38
-13.43,-30.76,-8.42
-13.61,-33.57,-6.77
-8.36,-34.18,-5.43
7.39,-23.74,-5.37
14.16,-16.78,-5.68
16.11,-11.47,-5.25
2.38,-7.69,-7.45
-6.53,-7.32,-9.28
-16.3,-6.84,-10.8
-19.78,-8.48,-8.67
-21.12,-12.21,-5.0
-16.6,-15.81,-1.46
-9.52,-12.88,-2.38
-2.75,-8.67,-4.09
6.35,-7.14,-3.48
5.62,-8.79,-3.11
1.28,-29.3,0.85
-10.8,-21.12,3.66
-13.43,-19.47,4.76
-8.12,-11.11,0.98
-2.56,-4.7,-1.59
3.78,0.12,-1.53
9.22,1.46,3.3
9.4,-5.0,5.49
10.13,-11.23,6.41
9.52,-22.4,5.49
11.23,-24.66,3.85
12.27,-17.82,-1.04
12.94,-9.64,-2.08
11.41,-5.19,-1.59
6.71,1.89,-1.46
5.43,7.57,-2.62
3.78,7.08,-4.64
3.17,11.66,-5.92
2.32,15.99,-4.39
0.92,19.47,-2.26
0.12,23.56,-1.83
-0.73,24.9,-1.83
2.81,31.74,-2.56
5.86,33.69,-1.59
8.0,32.71,1.1
7.14,32.41,4.94
6.16,35.1,4.82
4.33,39.37,-0.24
-1.04,54.69,-2.62
-5.49,60.67,-4.27
-10.99,66.83,-3.17
-10.31,67.26,-2.08
-11.11,66.77,-0.12
-15.32,59.57,4.76
-17.03,58.84,5.43
-19.23,61.71,3.23
-11.72,73.79,-1.22
-5.37,81.48,-3.54
-2.01,92.22,-2.2
-7.2,91.67,2.08
-14.34,85.69,8.12
-26.31,71.9,17.82
-23.8,71.9,11.96
-14.95,78.49,0.43
-1.77,101.62,-17.15
-1.89,107.73,-18.13
-24.96,101.32,-9.34
-38.09,92.65,-1.22
-51.09,84.78,7.39
-58.53,86.49,-3.66
-47.55,97.41,-20.81
-35.95,110.29,-33.87
-22.4,120.0,-35.46
-20.81,112.0,-27.16
-22.34,98.63,1.1
-28.08,74.95,11.29
-27.59,75.13,7.14
-9.09,96.92,-36.5
-2.62,109.25,-47.42
-0.61,117.07,-46.08
-2.62,107.12,-23.56
-7.45,94.24,-8.42
-17.03,80.69,6.53
-35.58,65.67,17.58
-37.29,70.07,4.46
-18.13,95.15,-35.1
-11.11,106.02,-40.16
-8.3,108.58,-37.78
-14.47,95.15,-21.0
-19.53,88.07,-11.41
-23.8,81.36,-3.17
-22.34,78.98,-7.63
-12.51,85.27,-21.91
-0.79,105.35,-37.11
11.84,112.24,-34.24
11.78,113.22,-28.75
-4.33,101.07,-16.05
-17.03,91.55,-8.97
-30.09,85.21,-3.3
-34.61,87.4,-9.4
-27.22,94.24,-18.86
-18.37,100.83,-26.37
-3.11,107.91,-27.34
3.05,105.35,-23.01
5.31,94.79,-9.03
-3.05,90.52,-3.72
-16.05,86.91,-1.83
-36.01,84.96,-13.12
-35.46,84.96,-22.28
-29.66,86.98,-27.28
-11.72,89.97,-23.32
-1.95,88.56,-18.74
5.8,84.35,-8.0
0.06,82.64,-2.62
-11.05,80.51,0.49
-33.63,78.06,-2.62
-36.99,77.51,-6.04
-35.77,76.6,-7.75
-23.01,79.83,-7.87
-15.08,82.58,-7.39
-10.68,83.31,-7.45
-10.31,76.54,-6.47
-13.06,71.96,-5.13
-12.57,64.45,-3.11
-11.41,63.54,-1.83
-10.68,64.51,0.06
-14.4,68.24,4.46
-18.25,69.34,4.88
-21.42,69.03,3.97
-24.11,66.71,2.14
-20.39,66.16,2.87
-8.73,70.07,3.36
-4.58,73.06,3.48
-4.52,76.9,2.2
-5.43,77.39,-3.6
-4.03,75.13,-5.49
0.31,74.04,-6.77
7.08,78.19,-9.16
6.35,80.93,-10.31
-6.84,82.15,-10.8
-13.06,79.53,-9.7
-15.56,75.2,-8.24
-14.71,66.77,-5.19
-12.7,64.45,-4.09
-12.57,65.19,-3.72
-19.41,69.7,-6.47
-22.16,69.4,-9.34
-22.77,68.36,-12.51
-13.37,58.59,-11.35
-4.46,53.41,-9.34
-0.61,50.17,-6.59
-3.97,48.58,-6.47
-8.79,45.1,-5.8
