GIR_X,GIR_Y,GIR_Z
-7.81,7.93,6.1
-2.14,8.61,8.42
2.38,8.91,12.08
3.11,6.59,23.38
-1.59,3.36,28.5
-12.57,-2.87,35.03
-15.14,-2.5,37.9
-13.98,-0.49,39.31
-6.41,3.05,41.99
-4.46,3.3,43.64
-5.8,2.14,44.07
-13.79,-2.5,41.87
-17.64,-3.91,41.63
-16.48,-0.92,47.79
-11.72,4.46,54.26
-8.12,8.67,60.79
-10.01,5.55,65.55
-15.01,-0.55,63.9
-20.51,-6.59,61.16
-23.74,-8.85,60.42
-19.41,-4.46,63.17
-14.16,0.79,70.25
-9.28,7.02,72.57
-9.09,6.71,73.18
-15.38,1.22,68.91
-18.92,-0.85,67.63
-20.51,1.16,68.91
-22.03,5.62,76.66
-21.36,4.27,81.12
-20.02,2.44,83.25
-18.92,2.01,81.3
-20.87,1.22,77.82
-24.35,8.3,77.7
-23.07,10.38,80.02
-20.87,9.7,82.4
-17.58,3.72,81.05
-17.58,3.05,79.71
-17.76,3.11,78.55
-20.26,6.47,76.54
-22.58,9.34,76.84
-23.93,10.99,86.55
-22.83,7.57,89.9
-23.13,2.81,88.81
-27.53,-1.95,73.24
-34.79,-1.83,65.0
-45.35,0.43,59.51
-54.75,16.36,68.18
-49.68,20.14,78.92
-40.77,18.68,89.6
-30.09,5.0,86.73
-32.9,-2.44,79.47
-39.49,-2.99,58.9
-37.29,7.87,54.32
-31.49,22.03,57.01
-11.78,35.4,75.2
-4.27,30.46,83.5
-4.46,20.51,87.65
-31.07,-1.28,74.34
-44.8,-2.81,64.15
-42.48,17.4,55.66
-31.01,28.14,59.45
-16.11,31.43,66.71
2.62,14.65,79.53
0.98,3.72,80.02
-6.04,-3.17,76.72
-22.52,-1.89,67.14
-24.6,4.82,65.92
-21.24,11.41,73.67
-6.47,7.63,77.33
-3.23,4.15,78.31
-7.26,4.58,75.07
-11.11,7.63,72.08
-14.04,11.54,70.25
-15.01,11.96,69.21
-11.35,9.22,69.21
-5.13,6.65,70.07
2.75,3.48,71.96
2.93,2.08,72.45
0.31,1.04,73.24
0.12,1.83,73.43
2.56,2.93,74.46
10.19,3.3,77.27
8.97,2.56,76.9
4.52,1.59,75.44
-6.47,1.83,73.55
-9.58,4.27,73.0
-6.04,7.14,70.86
-4.09,5.92,70.8
-4.15,4.15,71.47
-8.12,2.62,71.84
-9.46,5.74,70.25
-8.67,8.97,67.38
-3.42,10.01,62.87
-1.83,6.84,61.65
-2.69,-0.92,58.84
-6.53,-2.62,57.92
-6.41,-2.08,57.86
-2.2,3.05,57.56
0.0,4.46,56.7
1.16,2.14,56.4
-6.9,-10.44,53.28
-12.39,-16.36,50.9
-13.79,-17.09,48.22
-4.27,-0.24,46.57
4.09,8.54,45.35
7.2,14.34,42.11
1.71,14.34,39.61
-1.95,14.59,32.9
3.85,14.95,18.62
8.42,13.06,18.31
10.56,11.29,21.91
8.91,8.54,29.24
5.74,9.52,28.81
-2.44,11.17,27.59
-4.88,9.16,28.93
-6.59,5.62,29.11
-5.25,3.72,20.39
-1.1,4.52,16.36
2.99,6.04,13.98
5.8,12.51,12.21
3.36,14.83,12.88
1.04,15.75,15.38
-0.85,14.28,19.04
-1.65,9.16,26.31
-12.02,-2.81,44.13
-20.45,-8.73,49.62
-28.5,-12.33,44.74
-26.86,-5.19,-1.83
-15.32,4.27,-18.01
-0.06,11.6,-22.64
23.25,11.66,-21.73
26.67,6.23,-21.24
26.79,-1.59,-14.04
27.53,-2.62,-8.36
27.1,-2.08,-4.82
16.3,-1.95,-4.76
8.54,-2.56,-5.92
2.99,-3.05,-7.39
-0.18,-6.04,-10.01
1.89,-6.41,-10.19
5.13,-6.16,-9.16
10.56,-6.23,-8.61
10.74,-6.35,-8.42
7.75,-5.68,-9.77
5.86,-4.39,-10.38
5.74,-3.3,-11.29
6.35,-1.22,-14.16
4.7,-1.28,-16.6
2.2,-2.14,-22.46
4.09,-4.82,-23.86
8.18,-5.62,-23.86
14.89,-5.98,-25.63
16.48,-5.49,-27.53
16.6,-4.39,-28.99
16.42,-2.01,-33.45
17.7,-2.32,-36.62
18.8,-3.97,-40.04
19.17,-8.48,-44.56
19.71,-8.79,-46.2
25.09,-1.22,-46.57
28.5,3.3,-45.84
30.21,5.49,-45.78
22.46,2.81,-49.13
15.14,-1.28,-51.51
8.85,-3.97,-54.38
4.46,-2.81,-60.24
7.45,-0.61,-62.87
28.26,1.77,-61.89
21.55,2.75,-60.24
22.83,3.42,-58.47
18.55,3.48,-56.64
16.24,3.36,-56.15
15.5,3.3,-56.09
14.1,2.01,-57.68
9.28,1.28,-60.61
3.36,1.46,-63.96
-2.01,5.68,-65.37
-0.24,8.12,-64.39
8.42,8.36,-62.62
12.51,6.35,-62.19
15.87,4.15,-61.4
19.04,3.23,-61.71
19.53,4.21,-61.22
20.08,3.97,-61.04
20.81,0.37,-61.95
19.9,-0.43,-62.68
18.13,3.85,-63.96
18.01,7.02,-64.39
16.91,9.46,-65.31
13.31,5.62,-66.28
12.51,2.87,-64.82
12.33,1.46,-62.56
16.36,3.97,-62.01
18.62,5.68,-62.99
19.71,6.04,-66.71
18.31,6.71,-67.93
18.25,8.12,-67.57
20.26,11.47,-65.92
21.18,11.17,-66.1
20.14,9.7,-66.41
15.26,8.12,-67.14
13.49,8.36,-67.08
13.43,8.3,-66.35
15.08,6.41,-64.7
15.2,5.13,-64.09
12.45,8.3,-63.72
10.93,12.02,-64.27
10.8,15.62,-63.6
15.99,17.82,-61.04
18.13,14.34,-60.91
16.85,7.63,-62.62
11.72,-1.77,-67.38
11.84,-1.65,-66.83
18.13,1.71,-62.5
21.79,3.97,-61.34
23.25,5.68,-60.67
19.41,4.94,-60.42
16.24,2.93,-61.16
14.34,1.65,-61.65
14.4,1.1,-60.36
16.11,1.22,-59.39
17.09,-0.12,-60.0
17.4,-2.87,-60.12
19.1,-2.62,-59.88
22.46,-1.28,-59.63
21.48,-0.61,-60.67
17.52,-1.04,-62.26
9.83,-2.01,-61.4
10.86,-1.95,-58.9
15.14,-1.16,-55.85
23.07,-0.85,-53.28
22.58,-2.93,-54.02
10.62,-8.12,-59.39
4.64,-8.67,-59.63
1.46,-7.39,-58.41
6.59,-2.2,-54.02
12.57,-0.06,-52.06
17.64,1.46,-51.45
18.49,1.89,-51.88
16.97,1.28,-53.41
16.48,-0.49,-55.97
15.87,-1.34,-56.95
14.77,-2.2,-58.29
14.04,-0.73,-57.62
14.89,1.71,-56.21
16.54,3.23,-55.36
15.69,1.46,-55.42
13.92,-0.67,-55.36
9.7,-2.93,-55.05
1.4,-4.88,-54.63
0.49,-4.39,-53.34
8.0,-2.01,-48.71
13.79,-1.46,-48.46
19.59,-1.77,-49.5
25.39,-3.66,-51.94
21.48,-4.33,-52.73
13.0,-4.52,-51.64
-4.64,-5.92,-44.49
-9.22,-8.0,-41.08
-8.42,-14.34,-39.67
-7.75,-16.24,-41.02
-8.42,-16.66,-42.6
-10.31,-10.38,-41.87
-12.27,-5.13,-40.28
-15.44,-0.06,-38.02
-19.96,5.55,-35.1
-20.75,4.58,-33.63
-20.2,1.59,-27.71
-14.95,1.4,-22.22
-11.41,1.77,-16.36
-11.47,1.95,-8.91
-13.55,1.53,-6.29
-16.3,1.89,-3.66
-16.54,4.76,4.27
-14.83,5.92,8.48
-12.88,6.77,28.32
-9.58,6.16,19.53
-9.22,6.1,23.01
-10.86,5.86,33.02
-10.68,5.19,37.96
-9.7,4.39,41.87
-7.26,1.65,43.09
-7.57,0.12,41.14
-10.07,-0.92,39.31
-18.13,0.67,38.39
-20.94,4.21,41.56
-20.87,12.7,55.85
-18.68,14.53,63.35
-18.13,11.9,68.36
-23.5,0.18,68.24
-26.92,-3.36,63.84
-28.56,-3.17,60.18
-24.66,10.25,70.37
-17.15,14.16,79.65
-10.8,8.73,91.19
-10.44,0.06,90.27
-15.93,-8.73,83.13
-27.95,-12.02,66.22
-30.82,-4.52,65.55
-27.77,5.62,72.14
-9.52,16.48,91.19
-3.17,12.57,94.79
-2.75,4.52,93.75
-17.27,-10.74,82.34
-27.28,-9.64,76.17
-35.34,10.5,81.05
-30.27,15.62,85.14
-23.68,15.14,87.65
-21.91,1.83,84.59
-26.73,-4.7,79.16
-32.53,-4.03,74.58
-34.48,11.6,79.53
-30.27,16.85,85.63
-25.7,12.21,92.04
-29.79,3.66,90.45
-36.74,-4.58,84.9
-43.76,-2.99,71.72
-41.44,5.74,71.47
-34.42,13.85,75.5
-19.84,15.2,86.79
-17.4,8.36,88.68
-20.26,-14.71,81.91
-31.31,-3.23,75.2
-33.45,1.95,69.58
-26.55,18.92,73.55
-18.74,19.35,81.3
-12.76,14.59,87.04
-13.73,0.67,85.08
-19.29,-3.48,77.58
-24.17,-2.62,69.34
-24.35,14.04,61.77
-20.81,20.39,63.17
-16.72,15.08,69.09
-17.82,6.71,69.82
-17.88,0.73,69.34
-10.13,1.04,65.43
-3.48,6.84,63.96
3.11,12.21,64.03
5.92,9.95,68.73
2.01,3.97,71.04
-3.23,-2.69,68.54
-10.5,-2.56,63.54
-11.47,-0.24,58.53
-11.54,6.96,54.57
-12.27,10.19,56.76
-12.21,12.57,59.69
-8.61,11.9,64.51
-5.74,7.81,65.19
-4.03,3.6,64.51
-5.86,0.06,62.44
-7.39,0.61,60.06
-7.57,2.38,57.74
-6.04,3.48,58.23
-3.6,3.36,58.17
-1.1,0.67,56.64
0.31,-0.61,56.03
0.67,-0.37,56.27
-1.04,3.23,58.9
-1.53,4.09,59.75
0.67,3.91,58.04
1.16,1.83,56.46
0.18,-0.79,54.02
-3.48,-3.78,47.67
-3.66,-2.99,45.41
-1.83,-1.22,44.56
5.0,6.1,48.1
8.36,9.34,51.45
9.95,11.23,53.96
5.74,8.42,52.98
0.67,2.32,51.39
-6.53,-11.11,45.04
-6.71,-17.03,41.14
-3.23,-21.06,39.06
6.16,-18.43,37.54
11.72,-9.95,39.25
18.43,-0.92,42.85
23.32,11.17,47.24
21.79,14.1,42.54
13.24,12.51,18.92
3.3,6.65,11.84
-5.92,0.92,9.7
-9.09,-1.65,13.49
-3.66,2.2,18.62
3.17,6.04,26.0
8.24,9.83,39.25
4.82,8.12,42.42
-2.99,2.38,40.71
-4.09,1.28,35.16
-3.36,1.04,28.08
0.37,2.62,18.07
3.42,4.33,16.17
6.9,5.62,15.56
10.8,3.85,15.26
9.46,1.59,14.28
7.08,-2.2,11.96
1.65,-2.75,10.01
1.4,-2.87,7.51
4.52,-3.23,2.99
6.41,-3.78,2.14
6.53,-4.58,0.49
5.07,-4.46,-6.71
4.09,-3.48,-11.35
3.78,-2.01,-14.71
5.74,-2.75,-16.48
7.2,-3.54,-16.54
10.25,-3.36,-19.1
12.02,-2.99,-21.18
12.33,-2.69,-23.38
9.77,-4.03,-29.42
7.69,-6.16,-32.23
7.08,-6.71,-33.57
12.15,-2.81,-33.69
15.01,-0.73,-34.12
13.12,-0.79,-37.23
9.89,-1.22,-39.12
7.57,-1.28,-41.5
6.16,1.34,-47.55
6.96,2.38,-50.72
7.39,3.3,-53.59
7.45,3.42,-55.91
9.16,3.85,-56.58
12.63,5.31,-54.38
21.55,5.62,-52.25
22.28,2.75,-51.64
16.72,-0.49,-55.24
14.89,0.92,-56.27
15.26,3.54,-56.46
17.15,5.8,-55.73
16.91,2.99,-55.54
