ACC_X,ACC_Y,ACC_Z,GIR_X,GIR_Y,GIR_Z
-0.2,1.05,-1.12,22.4,-86.67,-156.37
-0.23,1.0,-0.89,19.1,-110.35,-206.85
-0.26,0.26,-0.61,-37.23,-115.48,-215.45
-0.28,-0.12,-0.67,-57.86,-101.38,-181.15
-0.28,-0.27,-0.8,-56.95,-99.37,-162.6
-0.26,-0.3,-0.64,-72.57,-141.3,-108.15
-0.21,-0.2,-0.45,-75.44,-164.0,-60.67
-0.14,-0.11,-0.19,-76.23,-182.8,-52.86
-0.23,-0.37,0.01,-57.86,-200.74,-47.55
-0.22,-0.5,0.18,-38.76,-217.71,-37.6
-0.17,-0.55,0.6,-31.49,-237.12,3.17
-0.13,-0.56,0.74,-41.32,-229.0,41.14
-0.09,-0.54,0.86,-54.5,-201.54,60.36
-0.07,-0.42,0.97,-75.13,-177.0,96.68
-0.06,-0.34,0.98,-71.9,-167.79,110.72
-0.06,-0.24,1.15,-68.73,-164.92,126.16
-0.04,-0.24,1.36,-56.82,-169.92,148.56
-0.05,-0.16,1.74,-36.5,-159.55,154.3
-0.07,-0.18,1.85,-48.4,-104.74,170.1
-0.09,-0.12,1.85,-49.62,-78.12,187.99
-0.16,0.32,1.79,-33.2,-35.89,234.62
-0.2,0.55,1.77,-26.31,-20.14,263.73
-0.23,0.96,1.86,-26.06,7.51,260.5
-0.2,1.47,1.96,-9.64,43.15,264.53
-0.29,1.67,1.9,-28.38,68.85,252.38
-0.21,1.68,1.69,-59.02,130.86,192.5
-0.26,1.57,1.44,-69.15,162.05,164.86
-0.25,1.36,1.09,-106.93,181.4,134.89
-0.35,1.41,1.25,-115.6,175.29,128.72
-0.41,1.43,1.12,-104.55,197.27,126.04
-0.45,1.56,0.8,-90.39,231.57,119.02
-0.46,1.66,0.64,-81.54,240.3,115.17
-0.47,1.87,0.25,-89.11,261.29,99.55
-0.54,1.99,-0.18,-109.44,277.4,63.23
-0.54,1.93,-0.42,-104.49,272.64,36.8
-0.53,1.71,-0.55,-91.67,216.61,-6.71
-0.52,1.7,-0.43,-82.21,184.45,-14.77
-0.5,1.98,-0.4,-33.75,174.01,-17.88
-0.49,2.17,-0.66,2.56,188.11,-52.06
-0.52,2.13,-0.76,6.71,179.14,-79.16
-0.64,1.6,-0.89,8.61,150.09,-144.17
-0.63,1.31,-0.96,21.24,139.16,-156.13
-0.5,1.52,-1.03,47.24,106.08,-109.62
-0.42,1.98,-0.89,64.94,64.27,-102.91
-0.38,1.95,-0.74,85.21,43.21,-129.33
-0.34,1.75,-0.44,130.07,21.73,-173.52
-0.33,1.81,-0.4,151.18,25.63,-178.83
-0.34,1.77,-0.42,175.05,38.33,-208.56
-0.43,1.23,-0.81,172.06,56.64,-242.25
-0.37,0.93,-1.05,157.71,51.21,-237.73
-0.16,1.41,-0.78,60.91,-20.26,-174.19
-0.14,1.69,-0.47,59.14,-54.81,-169.19
-0.19,1.08,-0.23,67.99,-63.11,-248.78
-0.15,0.41,-0.27,74.04,-63.84,-272.34
-0.07,0.5,-0.14,77.09,-76.23,-249.76
-0.09,0.56,0.0,116.09,-76.66,-249.33
-0.14,0.12,-0.24,116.33,-55.66,-280.88
-0.17,-0.66,-0.51,70.19,-64.58,-282.65
-0.14,-0.35,-0.14,49.68,-124.33,-193.42
-0.05,0.0,0.06,50.9,-139.47,-167.85
-0.13,-0.34,0.19,52.8,-137.94,-210.88
-0.19,-0.76,0.17,44.92,-135.07,-230.22
-0.21,-1.32,0.29,20.63,-144.53,-205.2
-0.19,-1.14,0.59,9.03,-153.5,-122.13
-0.13,-1.01,0.65,1.46,-144.9,-97.47
-0.13,-1.1,0.68,-27.65,-123.9,-79.53
-0.13,-1.22,0.66,-34.61,-118.1,-69.03
-0.15,-1.3,0.63,-35.77,-114.69,-26.31
-0.11,-1.26,0.8,-40.59,-128.17,28.26
-0.03,-1.07,0.88,-33.57,-131.16,55.6
0.01,-0.66,0.99,-7.93,-132.45,106.57
0.02,-0.43,1.09,2.5,-136.72,123.78
0.0,-0.21,1.46,-8.67,-138.18,131.1
-0.01,-0.33,1.72,-60.06,-99.85,119.93
-0.02,-0.76,1.69,-74.89,-71.11,125.12
-0.1,-0.8,1.54,-61.58,-33.26,177.0
-0.15,-0.59,1.55,-44.62,-29.42,211.18
-0.22,-0.3,1.52,-26.18,-27.59,249.88
-0.24,0.05,1.63,-46.14,-24.17,296.33
-0.13,0.86,1.79,-29.85,-13.92,299.8
0.04,1.23,1.73,-51.82,30.03,252.81
0.12,1.38,1.65,-44.43,44.49,234.44
0.23,1.61,1.67,-41.75,56.34,195.98
0.24,1.49,1.73,-68.48,83.56,136.35
0.19,1.18,1.66,-82.76,107.06,130.31
0.11,1.71,1.34,-80.32,150.33,157.9
0.12,2.07,1.12,-80.08,167.05,162.6
0.11,2.56,0.66,-87.95,183.23,126.83
0.11,2.62,0.52,-104.49,165.59,39.92
0.13,2.32,0.49,-122.62,150.51,-6.1
0.11,2.15,0.58,-132.57,139.89,-45.78
0.08,2.16,0.57,-133.85,146.85,-55.05
-0.01,2.1,0.39,-144.29,172.36,-85.14
-0.09,2.08,0.19,-175.66,203.37,-115.48
-0.25,1.85,-0.41,-187.38,209.17,-137.76
-0.3,1.44,-0.91,-200.99,170.35,-172.42
-0.28,1.36,-0.97,-200.5,129.15,-173.65
-0.29,1.22,-0.77,-207.89,45.78,-177.43
-0.33,1.06,-0.64,-215.52,6.41,-199.77
-0.38,0.65,-0.67,-214.29,-2.2,-204.04
-0.45,0.11,-0.73,-218.2,-35.77,-198.91
-0.45,-0.12,-0.67,-212.4,-64.03,-182.37
-0.42,-0.24,-0.45,-193.12,-115.91,-122.44
-0.41,-0.23,-0.37,-169.43,-144.23,-79.16
-0.37,-0.38,-0.32,-162.6,-154.79,-66.16
-0.37,-0.64,-0.29,-139.71,-181.21,-42.18
-0.37,-0.76,-0.19,-125.49,-202.94,-25.82
-0.36,-0.81,0.18,-97.11,-248.11,9.83
-0.38,-0.96,0.41,-105.96,-256.1,33.26
-0.4,-1.39,0.73,-98.51,-252.5,62.93
-0.53,-1.18,1.0,-97.23,-234.38,162.41
-0.59,-0.92,1.12,-94.54,-226.5,208.19
-0.64,-0.53,1.43,-73.12,-223.82,255.25
-0.68,-0.42,1.68,-61.65,-226.75,278.69
-0.72,-0.19,2.34,-69.21,-217.47,293.33
-0.79,0.14,2.92,-89.17,-156.8,333.98
-0.83,0.4,3.0,-97.78,-95.83,359.74
-0.84,1.04,2.63,-123.47,49.38,399.6
-0.8,1.37,2.3,-128.54,133.79,403.93
-0.75,1.97,2.08,-174.13,147.83,392.64
-0.63,2.47,1.91,-155.03,182.37,348.21
-0.59,2.66,1.76,-143.86,202.76,311.22
-0.55,2.56,1.37,-144.04,233.83,193.42
-0.62,2.1,1.24,-154.17,238.65,73.43
-0.89,1.29,1.26,-157.29,237.12,56.34
-1.08,1.44,1.26,-120.67,253.36,95.95
-1.16,1.79,1.13,-93.08,273.99,114.81
-1.34,2.01,0.69,-93.75,320.74,82.09
-1.38,1.92,0.32,-82.58,345.21,30.94
-1.41,1.88,-0.25,-92.9,345.03,19.47
-1.46,2.15,-0.27,-109.56,289.73,-3.17
-1.54,2.13,-0.3,-120.79,281.19,-32.1
-1.61,1.7,-0.85,-115.11,305.6,-102.97
-1.6,1.57,-1.13,-117.49,299.74,-109.5
-1.49,1.82,-1.44,-127.69,240.54,-101.75
-1.54,2.08,-1.49,-164.79,168.7,-130.74
-1.66,1.88,-1.6,-163.45,149.35,-179.02
-1.59,1.09,-1.94,-95.64,84.11,-261.41
-1.5,0.93,-1.75,-102.97,18.74,-234.5
-1.38,1.14,-1.04,-101.32,-75.2,-224.37
-1.28,1.15,-1.0,-57.92,-74.52,-248.35
-1.28,1.07,-1.18,-39.43,-65.06,-257.51
-1.26,0.65,-1.44,1.59,-98.88,-271.42
-1.22,0.48,-1.35,29.72,-144.41,-265.38
-1.09,0.35,-0.9,85.75,-226.62,-236.63
-0.81,0.54,-0.34,-6.1,-246.28,-222.29
-0.74,0.47,-0.2,-52.19,-234.25,-223.94
-0.63,0.17,-0.29,-45.04,-207.28,-219.36
-0.59,-0.04,-0.32,-60.12,-206.18,-215.27
-0.5,-0.33,-0.31,-95.4,-223.45,-179.02
-0.39,-0.32,-0.14,-109.31,-255.37,-118.23
-0.36,-0.28,-0.04,-112.24,-270.2,-95.4
-0.32,-0.3,0.25,-130.86,-285.4,-64.82
-0.32,-0.39,0.35,-89.78,-286.25,-51.51
-0.29,-0.42,0.58,-111.27,-274.17,-13.55
-0.3,-0.41,0.71,-69.27,-261.6,22.28
-0.33,-0.39,0.75,-60.73,-256.96,39.67
-0.44,-0.35,0.96,-57.37,-265.62,77.88
-0.41,-0.28,1.2,-62.87,-283.87,98.33
-0.39,-0.12,2.07,-88.38,-315.25,127.38
-0.37,-0.32,2.65,-104.06,-242.43,131.9
-0.43,-0.47,2.7,-116.7,-171.63,144.71
-0.6,-0.33,2.53,-133.48,-21.79,237.73
-0.67,0.06,2.37,-109.44,35.22,299.56
-0.72,0.95,2.01,-71.41,106.08,382.51
-0.71,1.41,1.85,-123.6,154.91,371.46
-0.71,1.48,1.7,-139.53,183.35,347.84
-0.74,1.55,1.48,-158.87,225.34,307.86
-0.74,1.7,1.37,-148.93,241.27,302.73
-0.76,2.09,1.16,-130.25,265.81,285.1
-0.78,2.38,0.82,-139.04,291.14,231.2
-0.77,2.42,0.68,-139.59,290.1,190.12
-0.84,2.19,0.51,-138.92,269.78,92.65
-0.94,1.93,0.47,-134.4,260.86,49.56
-0.99,1.64,0.27,-119.2,260.31,16.97
-1.05,1.77,-0.0,-113.1,263.55,14.77
-1.04,1.82,-0.11,-121.83,260.68,3.66
-1.05,2.0,-0.21,-140.99,248.35,-24.54
-1.08,2.15,-0.23,-144.96,243.53,-41.2
-1.23,2.29,-0.31,-146.3,239.87,-103.82
-1.42,1.78,-0.76,-119.69,255.13,-197.08
-1.42,1.48,-1.05,-109.74,254.15,-221.56
-1.3,1.42,-1.4,-134.7,200.68,-201.97
-1.25,1.58,-1.38,-156.01,155.09,-191.16
-1.2,1.66,-1.09,-155.7,64.94,-223.51
-1.21,1.38,-1.01,-114.87,35.34,-273.62
-1.27,1.12,-1.26,-90.33,43.7,-298.1
-1.17,0.82,-1.82,-43.88,22.09,-303.71
-1.13,0.86,-1.88,-30.88,-29.11,-286.68
-1.09,0.84,-1.31,-24.48,-153.32,-274.66
-1.03,0.49,-0.8,39.18,-204.1,-279.97
-0.82,0.53,-0.73,47.36,-198.67,-257.57
-0.75,0.7,-0.72,76.35,-187.87,-234.56
-0.76,0.65,-0.74,83.07,-191.83,-250.98
-0.63,0.2,-0.63,-8.18,-200.74,-287.78
-0.65,-0.11,-0.46,-71.96,-222.05,-269.71
-0.5,-0.53,-0.35,-96.5,-235.41,-236.51
-0.35,-0.5,-0.18,-160.4,-245.91,-145.69
-0.31,-0.4,-0.17,-192.57,-244.63,-106.38
-0.29,-0.4,-0.08,-225.65,-256.9,-63.6
-0.27,-0.5,0.17,-155.4,-275.27,-35.28
-0.32,-0.72,0.25,-141.85,-272.16,-16.42
-0.36,-0.76,0.34,-114.87,-264.71,37.17
-0.4,-0.71,0.41,-83.25,-271.67,66.96
-0.4,-0.41,0.91,-108.83,-296.69,126.16
-0.41,-0.25,1.18,-86.73,-297.24,159.06
-0.49,-0.16,1.7,-84.05,-276.37,165.47
-0.57,-0.31,1.96,-97.23,-207.21,187.38
-0.57,-0.34,2.11,-110.41,-178.34,209.05
-0.64,-0.12,2.55,-116.39,-129.27,269.9
-0.73,0.05,2.72,-152.4,-12.02,321.41
-0.92,0.33,2.68,-173.58,74.65,340.88
-1.12,0.67,1.78,-179.87,238.89,375.12
-1.2,0.84,1.38,-186.22,281.37,387.82
-1.19,1.19,0.83,-189.88,306.09,401.25
-1.19,1.37,0.72,-211.85,282.84,385.19
-1.15,1.77,0.76,-205.51,264.4,373.96
-1.09,2.33,0.85,-208.44,258.79,343.14
-1.09,2.64,0.76,-220.4,279.3,317.93
-1.2,2.92,0.25,-255.92,336.24,213.93
-1.22,2.89,0.01,-232.3,322.81,79.22
-1.2,2.76,-0.24,-185.97,290.53,26.49
-1.34,2.59,-0.17,-127.32,235.78,-65.73
-1.41,2.35,-0.16,-113.22,227.48,-114.87
-1.53,1.79,-0.36,-93.51,237.49,-180.6
-1.52,1.58,-0.57,-99.37,250.24,-196.04
-1.47,1.48,-0.99,-108.22,244.2,-188.11
-1.44,1.79,-1.22,-139.59,200.93,-179.93
-1.46,1.91,-1.27,-152.1,173.46,-194.95
-1.47,1.9,-1.26,-183.29,120.73,-251.04
-1.51,1.75,-1.21,-176.21,66.96,-321.84
-1.53,1.26,-1.08,-169.56,50.11,-350.34
-1.53,0.7,-1.51,-108.83,54.75,-384.34
-1.5,0.38,-1.86,-64.33,49.62,-385.93
-1.27,0.09,-2.21,-38.33,-30.03,-308.17
-1.16,0.34,-1.96,-52.98,-176.7,-190.55
-1.0,0.94,-1.17,-19.59,-222.9,-175.54
-0.98,0.94,-0.89,103.7,-257.26,-224.55
-0.99,0.72,-0.79,135.68,-264.65,-262.21
-0.92,0.25,-0.52,121.28,-274.78,-300.17
-0.88,0.13,-0.38,45.65,-260.25,-297.55
-0.7,-0.21,-0.26,-21.06,-242.86,-282.9
-0.64,-0.42,-0.33,-114.75,-223.63,-212.1
-0.6,-0.47,-0.37,-138.92,-229.49,-174.01
-0.56,-0.56,-0.25,-198.3,-266.91,-106.02
-0.54,-0.57,-0.15,-234.56,-302.67,-35.95
-0.52,-0.48,0.13,-284.67,-312.01,-5.74
-0.49,-0.54,0.52,-265.56,-317.26,33.08
-0.5,-0.6,0.72,-218.69,-311.83,52.86
-0.51,-0.6,0.93,-143.01,-280.7,109.07
-0.55,-0.55,1.0,-130.07,-246.28,177.06
-0.61,-0.32,1.29,-103.58,-237.98,215.21
-0.53,0.19,1.63,-76.54,-221.31,286.56
-0.45,0.51,1.83,-84.72,-204.96,310.12
-0.42,0.91,2.16,-80.14,-156.19,291.56
-0.38,0.87,2.33,-113.34,-70.8,243.84
-0.43,0.63,2.49,-145.81,-9.89,242.07
-0.55,0.77,2.32,-184.81,125.06,273.8
-0.63,0.99,2.04,-184.88,189.15,293.03
-0.68,1.36,1.47,-176.09,264.77,309.14
-0.74,1.5,1.29,-172.3,276.12,303.53
-0.7,1.87,1.16,-175.72,281.13,294.43
-0.74,2.22,1.0,-160.77,304.38,261.54
-0.77,2.3,0.83,-155.82,325.2,235.29
-0.83,2.24,0.42,-181.21,356.99,165.65
-0.87,2.05,0.2,-195.31,364.2,87.77
-1.01,1.51,-0.14,-198.49,347.78,64.7
-1.03,1.44,-0.24,-225.4,304.08,74.28
-1.0,1.69,-0.26,-228.88,287.29,87.4
-1.13,2.23,-0.34,-232.73,283.08,66.83
-1.17,2.4,-0.46,-235.35,288.82,-16.91
-1.42,2.42,-0.75,-236.82,288.88,-77.33
-1.73,1.96,-1.17,-147.16,273.5,-210.39
-1.84,1.47,-1.4,-99.85,255.07,-272.34
-1.77,0.61,-1.74,-95.21,189.88,-306.34
-1.64,0.51,-1.81,-133.67,145.39,-206.67
-1.44,1.02,-1.62,-202.7,35.89,-174.13
-1.41,1.54,-1.23,-200.2,-50.48,-177.06
-1.46,1.59,-1.05,-155.27,-79.9,-215.58
-1.64,1.07,-1.26,-42.79,-79.16,-330.38
-1.64,0.69,-1.45,3.91,-76.9,-367.43
-1.52,0.33,-1.49,35.34,-125.67,-343.2
-1.31,0.4,-1.27,97.17,-200.44,-275.39
-1.23,0.46,-1.15,126.65,-226.68,-250.12
-1.05,0.55,-0.91,112.67,-262.45,-216.74
-0.98,0.6,-0.76,80.81,-274.96,-208.68
-0.93,0.81,-0.42,30.76,-277.22,-226.01
-0.74,0.26,-0.24,-26.86,-245.06,-308.84
-0.72,-0.19,-0.35,-9.95,-231.26,-323.12
-0.58,-0.61,-0.39,-97.35,-236.45,-246.03
-0.51,-0.55,-0.37,-154.72,-248.11,-180.11
-0.39,-0.23,-0.19,-252.99,-276.37,-69.95
-0.3,-0.11,0.14,-239.69,-299.38,-26.43
-0.26,-0.14,0.27,-203.19,-297.91,-20.39
-0.22,-0.28,0.34,-134.52,-273.86,-12.76
-0.2,-0.32,0.29,-125.24,-261.05,-3.11
-0.25,-0.25,0.34,-133.73,-250.73,29.11
-0.32,-0.26,0.52,-115.97,-252.14,50.35
-0.34,-0.32,0.64,-128.36,-253.05,66.47
-0.5,-0.26,0.89,-170.1,-251.71,134.22
-0.56,-0.14,1.02,-191.89,-245.67,177.86
-0.49,0.17,1.49,-161.68,-240.66,261.47
-0.34,0.73,2.1,-115.17,-228.27,315.67
-0.31,0.98,2.39,-95.7,-197.14,317.26
-0.31,0.92,2.66,-51.51,-83.25,270.69
-0.43,0.82,2.63,-60.55,-4.09,259.03
-0.63,0.8,2.05,-51.45,159.85,282.29
-0.65,1.2,1.45,-80.44,238.4,321.84
-0.65,1.44,1.28,-102.42,250.92,329.1
-0.62,1.68,1.02,-128.66,263.12,302.98
-0.61,1.72,0.92,-144.41,264.04,280.15
-0.62,1.75,0.84,-154.54,256.16,239.44
-0.59,1.85,0.75,-148.07,259.34,211.61
-0.64,1.86,0.7,-154.11,263.92,190.73
-0.77,1.73,0.61,-166.63,267.33,141.3
-0.86,1.67,0.62,-171.33,266.91,124.15
-1.03,1.64,0.54,-152.65,279.66,107.6
-1.08,1.78,0.33,-149.9,303.65,96.25
-1.18,1.9,0.21,-170.72,314.51,87.59
-1.36,2.23,-0.2,-215.21,344.85,51.64
-1.47,2.35,-0.48,-235.6,359.56,18.13
-1.65,2.43,-1.22,-249.02,365.3,-69.64
-1.7,2.35,-1.82,-223.33,284.85,-170.17
-1.76,2.02,-1.86,-172.06,201.11,-218.69
-1.72,1.46,-1.24,-100.1,28.93,-292.85
-1.65,1.33,-0.89,-109.13,-11.41,-304.08
-1.54,1.42,-0.7,-145.32,0.61,-305.42
-1.54,1.44,-1.12,-132.02,25.21,-335.14
-1.69,0.98,-1.31,-105.35,21.36,-365.54
-1.56,0.14,-1.77,-26.18,-8.67,-389.53
-1.4,-0.01,-1.9,-21.73,-40.83,-345.46
-1.21,0.47,-1.56,-46.69,-149.54,-208.98
-1.11,0.7,-1.2,-4.64,-230.9,-177.67
-0.94,0.74,-0.7,34.42,-238.59,-190.25
-0.86,0.4,-0.65,56.15,-210.14,-228.52
-0.82,0.14,-0.79,50.84,-186.22,-243.35
-0.68,-0.31,-1.08,3.11,-179.02,-225.71
-0.61,-0.35,-0.98,-111.02,-242.07,-130.13
-0.5,-0.06,-0.55,-149.35,-266.72,-87.1
-0.35,0.16,-0.28,-200.81,-280.7,-43.58
-0.31,0.2,-0.2,-208.8,-275.15,-35.89
-0.29,-0.03,-0.14,-151.31,-261.54,-45.04
-0.27,-0.25,-0.13,-100.04,-265.2,-46.51
-0.24,-0.51,0.02,-98.21,-272.58,-27.34
-0.2,-0.28,0.31,-102.48,-277.77,28.08
-0.21,-0.22,0.4,-70.8,-269.41,38.21
-0.31,-0.44,0.34,-62.38,-232.12,43.15
-0.41,-0.51,0.31,-89.84,-219.73,90.7
-0.57,-0.36,0.39,-96.31,-226.14,127.81
-0.71,-0.04,0.76,-103.03,-255.55,194.15
-0.74,0.15,0.99,-62.5,-272.95,218.93
-0.72,0.45,1.51,-63.9,-299.74,245.48
-0.67,0.58,1.78,-77.82,-308.96,248.72
-0.53,0.74,2.42,-46.02,-305.36,239.62
-0.68,0.62,2.95,-10.62,-238.46,210.27
-0.76,0.54,3.11,-29.17,-164.0,206.42
-0.83,0.58,3.12,-144.78,54.75,235.72
-0.88,0.72,2.59,-223.14,287.05,263.18
-0.92,0.9,1.59,-228.52,336.55,263.06
-0.92,1.02,1.06,-187.26,348.51,269.41
-0.95,1.15,0.96,-186.28,332.28,274.11
-1.08,1.46,1.01,-142.94,300.11,278.75
-1.12,1.63,1.05,-133.61,301.82,263.37
-1.22,1.82,0.98,-156.07,318.97,241.7
-1.41,1.8,0.68,-234.25,368.84,187.01
-1.42,1.77,0.54,-267.58,388.55,165.04
-1.71,1.96,0.13,-336.43,422.91,131.29
-1.72,2.07,-0.15,-351.87,443.91,83.31
-1.78,2.27,-0.73,-368.53,441.1,47.61
-1.84,2.17,-1.25,-339.48,378.72,-51.15
-1.85,2.04,-1.33,-298.28,312.68,-98.45
-1.83,1.92,-1.01,-202.64,163.88,-159.18
-1.9,1.97,-0.69,-211.3,113.34,-209.53
-2.07,1.76,-0.69,-156.56,130.86,-252.44
-2.13,1.39,-1.11,-78.74,155.64,-325.93
-2.15,1.25,-1.27,-59.57,151.49,-346.25
-2.02,1.15,-1.58,-95.83,121.95,-358.83
-1.98,1.12,-1.66,-143.68,62.56,-351.56
-1.98,0.98,-1.79,-104.13,23.38,-355.41
-1.95,0.68,-1.69,39.79,-68.24,-365.84
-1.87,0.52,-1.52,101.01,-111.08,-362.49
-1.69,0.35,-1.12,187.13,-161.13,-337.4
-1.51,0.32,-0.97,173.1,-166.93,-290.16
-1.26,0.47,-0.75,100.83,-166.87,-265.32
