ACC_X,ACC_Y,ACC_Z,GIR_X,GIR_Y,GIR_Z
-0.47,-0.43,1.59,58.72,-117.37,14.65
-0.43,-0.35,1.57,67.63,-104.0,8.85
-0.44,-0.45,1.62,72.81,-99.49,-7.32
-0.46,-0.56,1.6,66.53,-97.84,-18.07
-0.36,-0.67,1.6,43.95,-98.94,-31.62
-0.32,-0.59,1.59,37.6,-99.85,-31.07
-0.26,-0.7,1.71,38.27,-108.64,-39.79
-0.24,-0.67,1.76,23.01,-97.84,-32.59
-0.22,-0.68,1.77,20.45,-94.3,-31.74
-0.19,-0.72,1.87,15.69,-89.72,-28.87
-0.2,-0.73,1.89,10.56,-84.59,-25.27
-0.25,-0.72,2.03,8.06,-81.3,-19.04
-0.3,-0.77,2.24,7.02,-75.13,-18.01
-0.37,-0.81,2.31,0.73,-65.0,-16.6
-0.43,-0.79,2.37,-19.84,-35.4,-10.13
-0.46,-0.77,2.35,-30.4,-18.31,-7.39
-0.54,-0.73,2.35,-37.72,10.5,-2.2
-0.57,-0.64,2.26,-43.03,45.59,5.37
-0.62,-0.58,2.19,-46.57,62.44,7.69
-0.6,-0.5,1.98,-53.71,93.2,8.3
-0.59,-0.48,1.87,-57.74,105.47,6.04
-0.55,-0.5,1.72,-62.38,120.61,-0.24
-0.53,-0.52,1.56,-75.32,133.73,-2.93
-0.5,-0.54,1.48,-81.18,137.88,-2.2
-0.45,-0.51,1.32,-88.68,141.24,1.34
-0.41,-0.48,1.25,-90.7,139.28,3.23
-0.34,-0.41,1.17,-100.1,134.22,5.49
-0.33,-0.35,1.15,-104.74,128.3,7.75
-0.35,-0.24,1.15,-102.54,125.49,7.2
-0.32,-0.19,1.08,-90.09,125.98,3.48
-0.27,-0.21,1.01,-78.92,124.76,-0.67
-0.22,-0.26,0.97,-51.57,110.66,-6.53
-0.2,-0.28,0.96,-33.81,100.89,-4.39
-0.24,-0.25,0.94,-32.47,101.32,-1.71
-0.26,-0.21,0.85,-33.45,109.5,0.92
-0.25,-0.19,0.79,-39.49,113.53,0.24
-0.25,-0.13,0.62,-51.57,117.98,-1.71
-0.24,-0.13,0.55,-56.95,112.67,-4.76
-0.18,-0.07,0.41,-61.28,107.97,-6.29
-0.12,-0.01,0.28,-69.89,97.78,-10.5
-0.07,0.05,0.2,-69.34,92.29,-11.6
0.0,0.16,0.11,-57.98,76.9,-15.99
0.03,0.2,0.08,-39.49,63.23,-26.0
0.04,0.14,-0.06,-31.07,56.76,-34.79
0.13,-0.08,-0.27,-26.61,42.05,-48.65
0.18,-0.11,-0.31,-27.28,30.27,-46.08
0.29,-0.04,-0.26,-27.22,6.53,-35.71
0.35,0.06,-0.27,-20.08,3.78,-26.86
0.44,0.2,-0.31,-8.79,5.62,-26.18
0.51,0.14,-0.42,18.68,9.16,-30.46
0.57,0.06,-0.46,27.22,4.76,-32.47
0.63,-0.06,-0.46,29.91,-7.63,-29.6
0.62,-0.12,-0.43,29.36,-26.06,-21.06
0.58,-0.23,-0.35,27.34,-35.71,-16.3
0.54,-0.26,-0.29,21.79,-51.51,-6.59
0.5,-0.26,-0.24,23.62,-60.18,-1.4
0.44,-0.25,-0.11,30.94,-75.32,9.22
0.39,-0.24,-0.05,38.94,-90.03,17.94
0.28,-0.26,0.14,41.38,-96.5,20.94
0.12,-0.27,0.29,38.27,-98.02,27.65
0.05,-0.25,0.32,39.86,-95.28,32.1
0.01,-0.24,0.41,53.16,-95.34,37.17
-0.03,-0.2,0.56,75.93,-102.97,43.64
-0.1,-0.18,0.81,85.27,-101.75,41.93
-0.16,-0.32,0.97,72.94,-96.56,34.91
-0.2,-0.35,1.08,58.53,-91.49,36.56
-0.3,-0.34,1.28,47.0,-67.44,50.78
-0.32,-0.26,1.35,88.56,-32.04,78.92
-0.32,0.06,1.5,102.84,-15.99,88.5
-0.31,0.18,1.49,133.73,13.0,79.47
-0.28,0.15,1.44,132.26,21.3,62.93
-0.2,-0.04,1.29,122.74,21.12,23.99
-0.15,-0.2,1.25,114.81,-1.34,-0.12
-0.08,-0.43,1.26,89.42,-13.79,-2.38
-0.04,-0.46,1.22,55.85,-33.08,1.89
0.0,-0.36,1.23,39.12,-43.88,3.42
0.07,-0.23,1.37,16.78,-66.83,-10.38
0.1,-0.22,1.46,14.22,-78.0,-26.73
0.19,-0.27,1.55,11.54,-76.9,-33.57
0.26,-0.61,1.64,15.08,-77.45,-46.26
0.28,-0.75,1.72,17.94,-78.31,-44.07
0.29,-0.82,1.9,14.83,-77.09,-23.8
0.28,-0.77,2.04,14.28,-78.12,-6.53
0.23,-0.76,2.33,9.09,-73.73,-6.04
0.13,-1.04,2.51,-8.42,-56.7,-12.82
0.05,-1.15,2.56,-24.6,-43.52,-9.4
-0.03,-0.97,2.46,-62.5,-7.02,14.04
-0.05,-0.82,2.34,-75.56,6.1,26.49
-0.08,-0.51,2.15,-90.58,18.62,25.45
-0.14,-0.46,2.03,-97.23,26.25,10.38
-0.16,-0.5,1.97,-101.14,32.59,3.54
-0.21,-0.49,1.82,-103.21,50.9,4.15
-0.24,-0.43,1.73,-102.42,63.72,13.24
-0.24,-0.3,1.49,-93.81,87.65,15.5
-0.21,-0.28,1.32,-81.67,99.3,12.76
-0.2,-0.26,1.22,-79.71,104.61,11.84
-0.21,-0.2,1.05,-77.64,107.85,11.9
-0.24,-0.16,0.99,-76.6,106.2,11.66
-0.28,-0.07,0.85,-75.62,104.37,8.42
-0.28,0.03,0.79,-76.23,98.69,0.73
-0.29,0.06,0.76,-74.04,96.01,-4.46
-0.3,0.1,0.71,-73.97,94.67,-15.81
-0.27,0.11,0.64,-76.66,95.46,-22.28
-0.2,0.09,0.56,-83.07,91.55,-35.03
-0.18,0.06,0.53,-84.47,90.58,-40.83
-0.18,0.06,0.52,-80.51,92.77,-40.41
-0.18,0.02,0.49,-60.91,97.84,-36.07
-0.15,0.01,0.42,-53.16,104.31,-33.51
-0.06,0.1,0.24,-23.19,109.62,-27.34
0.04,0.0,0.11,-0.37,95.46,-34.61
0.09,-0.07,0.04,-5.68,87.71,-38.27
0.2,-0.03,-0.14,-28.5,75.26,-36.5
0.29,-0.01,-0.25,-34.61,68.97,-37.48
0.49,0.09,-0.42,-35.52,54.57,-36.68
0.6,0.15,-0.63,-11.17,40.47,-36.87
0.65,0.08,-0.75,4.88,29.11,-39.25
0.68,0.01,-0.71,32.96,-10.13,-36.07
0.67,-0.03,-0.64,37.72,-26.86,-34.24
0.62,-0.04,-0.62,23.13,-43.15,-27.77
0.53,-0.02,-0.59,21.12,-61.28,-24.05
0.5,-0.05,-0.53,27.22,-72.02,-24.11
0.46,-0.1,-0.43,43.76,-87.4,-19.1
0.42,-0.1,-0.37,47.0,-93.38,-14.4
0.36,-0.12,-0.28,58.72,-104.61,-5.86
0.27,-0.2,-0.25,74.34,-117.61,-3.42
0.22,-0.25,-0.19,78.19,-129.03,-3.97
0.05,-0.33,0.0,80.99,-151.43,-2.14
-0.05,-0.34,0.13,78.06,-161.62,0.55
-0.26,-0.37,0.36,71.96,-173.65,4.58
-0.41,-0.37,0.52,58.78,-176.64,4.76
-0.5,-0.4,0.61,51.7,-179.38,1.65
-0.58,-0.49,0.84,43.09,-190.92,-3.42
-0.59,-0.52,0.99,39.18,-194.76,-1.59
-0.7,-0.53,1.23,27.83,-179.32,18.98
-0.85,-0.26,1.29,29.11,-141.05,55.24
-0.86,-0.05,1.28,40.22,-124.27,65.49
-0.88,0.09,1.32,60.97,-111.08,49.44
-0.85,0.0,1.33,61.46,-110.78,28.2
-0.77,-0.28,1.35,32.9,-105.16,-1.89
-0.75,-0.23,1.34,21.18,-103.21,6.41
-0.72,-0.28,1.48,24.41,-115.3,6.16
-0.73,-0.17,1.66,15.5,-114.69,16.72
-0.71,-0.14,1.67,5.13,-108.15,15.01
-0.63,-0.08,1.74,-5.07,-104.25,3.11
-0.61,-0.16,1.92,8.12,-112.18,-14.04
-0.58,-0.27,2.04,17.82,-115.66,-20.02
-0.52,-0.4,2.3,35.4,-112.43,-21.06
-0.51,-0.49,2.42,40.89,-104.61,-18.86
-0.56,-0.55,2.65,51.27,-78.74,-4.76
-0.61,-0.6,2.84,55.24,-46.02,5.43
-0.68,-0.66,2.85,49.87,-25.27,11.35
-0.71,-0.6,2.78,27.1,16.6,22.16
-0.72,-0.51,2.72,15.5,35.4,26.31
-0.74,-0.41,2.53,1.22,63.78,20.57
-0.75,-0.42,2.48,-2.99,75.2,7.08
-0.78,-0.49,2.44,-7.57,84.59,2.2
-0.83,-0.56,2.31,-13.92,105.1,-2.01
-0.84,-0.62,2.23,-14.16,114.56,-3.05
-0.83,-0.74,2.05,-14.83,135.74,-1.28
-0.82,-0.75,1.93,-24.29,154.97,6.53
-0.79,-0.76,1.74,-30.88,162.48,10.93
-0.79,-0.71,1.58,-40.53,173.83,20.94
-0.8,-0.72,1.52,-46.39,178.34,23.13
-0.8,-0.77,1.41,-68.66,190.06,24.41
-0.79,-0.77,1.3,-97.29,202.58,26.55
-0.78,-0.71,1.15,-105.29,201.84,29.54
-0.79,-0.63,1.09,-113.16,199.95,35.1
-0.79,-0.6,1.05,-116.94,201.35,35.16
-0.78,-0.46,0.9,-121.28,209.41,34.12
-0.78,-0.42,0.82,-113.77,215.39,27.4
-0.75,-0.35,0.71,-107.91,221.07,27.71
-0.76,-0.26,0.56,-97.29,238.04,33.14
-0.75,-0.21,0.46,-93.81,245.61,35.95
-0.73,-0.17,0.21,-93.99,254.88,36.68
-0.72,-0.17,0.06,-88.87,245.97,39.67
-0.62,-0.11,-0.24,-80.75,229.61,41.32
-0.45,-0.01,-0.38,-68.85,174.74,41.63
-0.38,0.05,-0.38,-69.7,143.49,39.37
-0.26,0.19,-0.41,-73.55,92.41,29.72
-0.21,0.23,-0.49,-81.67,50.54,25.94
0.03,0.56,-0.4,-66.53,48.77,19.65
0.23,0.57,-0.56,-30.64,78.61,-20.14
0.31,0.51,-0.66,-7.39,84.53,-41.44
0.57,0.28,-0.87,34.97,74.95,-72.2
0.76,0.19,-1.02,47.36,54.2,-79.16
1.05,0.1,-1.11,44.86,36.56,-77.51
1.18,0.11,-1.06,15.32,10.44,-69.58
1.2,0.18,-1.04,-4.94,1.71,-59.94
1.18,0.26,-0.99,-19.9,-12.45,-45.96
1.14,0.2,-0.93,-15.08,-25.94,-39.43
0.99,0.01,-0.9,-9.34,-30.94,-35.16
0.85,-0.04,-0.77,-15.81,-56.21,-18.31
0.78,-0.08,-0.64,-17.7,-73.73,-10.99
0.6,-0.11,-0.42,-19.47,-96.8,5.31
0.51,-0.07,-0.38,-15.32,-114.44,20.57
0.36,-0.09,-0.3,9.64,-126.22,22.58
0.21,-0.2,-0.23,25.82,-144.59,27.1
0.16,-0.26,-0.28,26.98,-149.78,29.85
0.1,-0.2,-0.3,34.97,-173.58,41.38
0.02,-0.12,-0.23,45.9,-202.03,51.45
-0.17,0.03,-0.11,73.06,-208.25,50.35
-0.38,-0.04,-0.05,96.86,-219.06,35.34
-0.46,-0.17,0.02,107.79,-224.49,24.9
-0.61,-0.54,0.11,119.81,-230.53,10.62
-0.64,-0.63,0.13,120.73,-231.63,25.7
-0.77,-0.57,0.26,119.45,-236.33,36.56
-0.96,-0.44,0.41,121.03,-239.07,48.22
-1.09,-0.4,0.51,121.95,-240.23,46.75
-1.24,-0.48,0.72,135.44,-242.0,36.13
-1.25,-0.47,0.9,143.49,-244.93,27.28
-1.29,-0.63,1.29,148.19,-242.74,20.26
-1.31,-0.69,1.6,147.16,-212.46,27.22
-1.32,-0.7,1.71,148.13,-194.03,31.43
-1.3,-0.59,2.04,147.58,-163.21,33.33
-1.24,-0.51,2.14,143.19,-140.93,29.72
-1.08,-0.24,2.07,128.48,-87.77,24.11
-0.91,-0.37,2.06,127.26,-74.28,-21.48
-0.82,-0.73,2.15,127.87,-79.71,-52.98
-0.71,-1.38,2.25,109.07,-76.97,-76.84
-0.61,-1.45,2.27,88.26,-68.66,-57.92
-0.52,-1.46,2.29,48.95,-58.23,-49.13
-0.63,-1.47,2.63,51.76,-77.33,-31.56
-0.69,-1.46,2.84,50.11,-77.82,-22.89
-0.8,-1.42,2.93,15.81,-46.08,-10.38
-0.82,-1.37,2.92,-5.43,-27.89,-6.41
-0.87,-1.31,2.87,-34.97,9.28,-3.72
-0.99,-1.21,2.83,-38.09,47.67,-0.31
-1.04,-1.19,2.8,-36.93,69.64,1.59
-1.09,-1.2,2.54,-50.78,123.11,7.32
-1.08,-1.14,2.36,-62.32,149.6,12.94
-1.08,-0.99,1.95,-82.34,187.68,19.29
-1.08,-0.95,1.71,-89.54,198.06,14.83
-1.09,-0.95,1.61,-94.36,201.97,13.73
-1.12,-0.88,1.42,-111.45,215.7,18.37
-1.13,-0.8,1.32,-120.91,221.56,21.67
-1.11,-0.65,1.19,-132.69,229.25,24.72
-1.04,-0.45,0.97,-140.87,244.2,24.66
-1.01,-0.43,0.89,-142.03,246.22,18.8
-0.93,-0.4,0.74,-143.62,249.21,6.77
-0.9,-0.36,0.64,-143.43,250.98,3.11
-0.81,-0.3,0.49,-140.44,245.42,-3.42
-0.72,-0.34,0.41,-133.67,230.77,-11.29
-0.68,-0.36,0.35,-136.41,227.66,-12.02
-0.53,-0.32,0.2,-139.59,220.95,-10.5
-0.45,-0.31,0.14,-137.76,214.23,-9.22
-0.31,-0.2,0.02,-131.35,201.17,-3.42
-0.21,-0.13,-0.1,-124.15,183.17,-0.67
-0.14,-0.13,-0.17,-112.24,170.35,-1.34
-0.01,-0.08,-0.2,-79.16,137.15,-3.85
0.09,-0.09,-0.26,-65.12,123.96,-9.83
0.37,-0.16,-0.46,-48.83,97.96,-22.77
0.71,-0.13,-0.66,-39.73,69.58,-20.87
0.82,-0.1,-0.77,-38.88,58.72,-14.16
0.95,-0.03,-0.97,-24.11,42.54,0.85
1.0,0.1,-0.98,-6.35,26.12,9.22
0.95,0.2,-0.84,32.9,-7.32,7.26
0.94,0.15,-0.85,29.42,-21.42,-4.76
0.9,0.15,-0.83,18.92,-30.15,-9.28
0.75,0.15,-0.71,11.6,-48.71,-20.2
0.68,0.14,-0.64,8.48,-53.77,-26.0
0.56,0.15,-0.46,-0.73,-57.56,-34.24
0.51,0.08,-0.43,-9.09,-47.24,-42.66
0.4,0.01,-0.44,-10.8,-44.56,-44.19
0.36,-0.12,-0.48,-4.27,-48.77,-31.31
0.37,-0.15,-0.52,-0.79,-53.22,-16.91
0.34,-0.13,-0.59,6.59,-69.46,14.28
0.27,-0.15,-0.51,32.04,-99.98,30.4
0.14,-0.2,-0.44,47.0,-116.82,32.9
0.06,-0.27,-0.33,68.85,-140.75,39.0
0.03,-0.31,-0.28,78.37,-149.84,41.14
-0.05,-0.35,-0.22,87.83,-164.79,46.2
-0.11,-0.34,-0.11,101.93,-181.21,51.45
-0.27,-0.4,-0.03,112.06,-193.12,43.88
-0.43,-0.57,0.12,115.54,-202.82,44.07
-0.46,-0.61,0.13,114.01,-201.23,49.01
-0.69,-0.64,0.26,110.53,-207.52,63.78
-0.81,-0.66,0.44,116.15,-220.21,71.53
-1.0,-0.74,0.57,111.27,-223.69,77.45
-1.15,-0.48,1.02,108.83,-231.45,91.43
-1.24,-0.4,1.25,106.2,-228.58,85.45
-1.28,-0.36,1.5,91.43,-204.59,61.83
-1.25,-0.41,1.53,78.98,-186.83,32.1
-1.24,-0.72,1.51,72.69,-182.13,22.58
-1.1,-0.7,1.63,46.81,-181.95,33.69
-1.05,-0.49,1.65,34.61,-174.01,47.3
-1.06,0.03,1.71,29.17,-164.31,52.8
-1.1,0.13,1.85,46.14,-167.54,13.0
-1.09,-0.11,2.15,49.93,-163.64,-11.66
-1.03,-0.47,2.4,46.14,-148.86,-42.66
-0.95,-0.66,2.5,43.21,-139.77,-47.91
-0.77,-0.59,2.55,15.5,-102.23,-24.29
-0.75,-0.54,2.58,23.13,-74.65,-8.91
-0.72,-0.48,2.72,33.87,-62.5,-2.38
-0.71,-0.44,2.73,45.96,-34.61,1.71
-0.69,-0.51,2.73,44.56,-25.57,-3.05
-0.73,-0.66,2.77,26.55,-17.03,-9.03
-0.77,-0.65,2.77,-1.77,-4.88,-0.67
-0.9,-0.54,2.83,-12.88,2.38,3.72
-1.02,-0.43,2.89,-26.79,26.67,6.53
-1.09,-0.38,2.84,-37.05,48.03,3.05
-1.17,-0.28,2.6,-52.25,95.34,0.24
-1.2,-0.24,2.52,-53.34,134.46,-7.75
-1.23,-0.25,2.23,-51.21,157.17,-12.39
-1.17,-0.37,1.91,-44.74,189.27,-26.67
-1.13,-0.5,1.78,-45.53,199.65,-34.55
-1.06,-0.64,1.48,-63.05,225.04,-32.84
-1.02,-0.64,1.39,-77.88,233.34,-16.85
-0.96,-0.53,1.28,-86.3,233.52,-10.13
-0.93,-0.45,1.18,-104.0,225.46,-8.42
-0.9,-0.42,1.13,-109.5,220.64,-10.07
-0.87,-0.41,1.02,-123.96,215.82,-19.35
-0.87,-0.4,0.96,-124.57,212.83,-23.5
-0.89,-0.33,0.85,-120.85,209.05,-24.29
-0.85,-0.19,0.77,-105.9,203.8,-27.71
-0.82,-0.18,0.74,-100.65,203.55,-34.06
-0.76,-0.25,0.64,-104.55,213.81,-48.34
-0.73,-0.25,0.57,-122.62,224.79,-53.77
-0.64,-0.34,0.42,-114.93,227.54,-56.64
-0.51,-0.45,0.22,-127.26,228.52,-59.45
-0.48,-0.51,0.12,-131.41,224.12,-57.5
-0.32,-0.49,-0.11,-112.85,205.69,-41.26
-0.19,-0.44,-0.21,-102.78,178.04,-24.35
0.04,-0.32,-0.53,-84.59,161.07,-17.27
0.28,-0.19,-0.85,-35.64,108.34,-6.53
0.4,-0.18,-0.95,-9.89,77.03,-4.03
0.6,-0.11,-0.9,28.26,26.0,5.25
0.67,-0.03,-0.79,34.55,14.65,10.8
0.75,0.05,-0.74,31.62,24.66,6.47
0.8,-0.0,-0.97,29.85,37.23,-11.72
0.84,-0.04,-1.02,27.22,26.43,-19.1
0.83,0.0,-0.95,19.96,-5.68,-18.62
0.8,0.05,-0.92,17.27,-30.82,-11.6
0.76,0.19,-0.84,18.25,-26.73,-10.74
0.71,0.18,-0.82,30.64,-28.69,-23.25
0.65,0.08,-0.81,38.33,-33.45,-31.62
0.49,-0.17,-0.7,34.0,-52.92,-30.94
0.4,-0.22,-0.67,27.16,-62.99,-1.59
0.27,-0.13,-0.61,27.47,-87.77,14.71
0.17,0.01,-0.5,43.82,-113.77,31.56
0.11,0.06,-0.42,56.4,-124.39,33.75
0.04,-0.01,-0.33,82.28,-138.43,25.88
0.0,-0.1,-0.29,91.55,-144.41,20.45
-0.17,-0.25,-0.16,104.74,-158.81,21.0
-0.34,-0.39,0.01,112.79,-171.88,25.94
-0.41,-0.45,0.08,115.6,-178.04,30.15
-0.54,-0.46,0.28,125.43,-192.2,39.18
-0.56,-0.32,0.38,135.8,-194.27,31.62
-0.64,-0.29,0.56,143.86,-190.67,36.32
-0.69,-0.3,0.79,156.86,-184.33,17.21
-0.74,-0.38,0.91,160.34,-182.01,3.66
-0.86,-0.76,1.14,155.15,-178.41,-20.26
-0.86,-0.96,1.23,151.37,-176.7,-21.24
-0.74,-1.23,1.38,139.59,-173.83,-9.89
-0.74,-1.0,1.46,103.58,-163.45,29.72
-0.8,-0.74,1.49,89.72,-161.87,46.08
-0.85,-0.52,1.72,80.32,-177.92,33.87
-0.85,-0.47,1.86,69.52,-179.69,19.29
-0.77,-0.43,1.94,47.36,-160.1,-8.73
-0.7,-0.53,2.03,62.13,-145.81,-33.87
-0.67,-0.63,2.05,69.95,-136.6,-41.08
-0.58,-0.75,2.09,84.9,-120.12,-43.09
-0.57,-0.75,2.12,87.59,-111.57,-38.7
-0.55,-0.85,2.16,87.59,-97.23,-38.64
-0.51,-0.95,2.34,79.9,-93.81,-37.29
-0.5,-1.06,2.42,68.66,-89.17,-37.78
-0.49,-1.13,2.58,40.16,-75.13,-28.87
-0.49,-1.19,2.66,31.86,-68.3,-26.86
-0.55,-1.36,2.94,31.56,-54.26,-22.22
-0.66,-1.44,3.07,13.24,-17.7,-6.1
-0.69,-1.41,3.0,-6.9,9.95,4.21
-0.77,-1.33,2.87,-45.59,53.22,18.25
-0.8,-1.28,2.77,-63.42,74.22,22.28
-0.85,-1.2,2.57,-88.5,114.32,22.83
-0.92,-1.15,2.4,-91.8,146.79,26.31
-1.01,-1.1,2.31,-88.81,163.33,34.24
-1.11,-1.0,2.15,-74.46,191.77,47.79
-1.15,-1.02,2.08,-77.64,205.63,48.95
-1.17,-0.87,1.73,-112.0,243.16,52.19
-1.19,-0.74,1.42,-140.32,257.81,44.13
-1.2,-0.74,1.33,-149.29,257.69,38.7
-1.2,-0.7,1.18,-166.44,258.36,30.88
-1.19,-0.69,1.11,-178.83,260.56,26.61
-1.14,-0.57,0.88,-205.08,265.81,18.55
-1.1,-0.52,0.71,-213.62,258.54,4.82
-1.07,-0.47,0.65,-207.95,251.53,-1.59
-1.0,-0.44,0.58,-193.85,239.93,-14.59
-0.97,-0.45,0.51,-190.55,238.95,-20.69
-0.88,-0.43,0.29,-191.04,237.92,-28.81
-0.84,-0.46,0.13,-190.55,223.21,-37.9
-0.77,-0.45,0.04,-187.62,216.31,-38.21
-0.63,-0.3,-0.1,-172.49,195.37,-33.87
-0.53,-0.24,-0.15,-162.48,181.88,-36.07
-0.32,-0.23,-0.31,-144.53,155.7,-46.69
-0.15,-0.35,-0.57,-93.38,118.53,-54.63
0.24,-0.44,-0.66,-63.66,99.98,-52.61
0.66,-0.61,-1.0,-17.21,84.47,-39.73
0.82,-0.63,-1.09,-9.58,74.16,-29.24
0.93,-0.47,-1.13,-12.08,47.3,-5.8
0.95,-0.36,-1.32,-58.11,28.32,3.11
